definition,answer,occurrences,example_clue,approve
ancestors,FAMILYTREE,1,Ancestors fairly teem with corruption,
ancient,LONGINTHETOOTH,1,"Ancient light, not hot one, maybe",
ancient artifact,ROSETTASTONE,1,Stupid reason to test ancient artifact,
ancient creatures,ALLOSAURUS,1,Ursula also recreated ancient creatures,
ancient curse,BESHREW,1,Ancient curse from Hebrew's translated,
ancient egyptian dynasty,PTOLEMAIC,1,Email Copt about ancient Egyptian dynasty,
ancient folk tale,CINDERELLA,1,Ancient folk tale incorrectly recalled in parts,
ancient italian,ETRUSCAN,1,Ancient Italian recusant to be converted,
ancient italy,ETRUSCAN,1,Possibly uncrates something coming from ancient Italy,
ancient neighbour,ASSYRIAN,1,Iran says it's uneasy with an ancient neighbour,
ancient relic found,NEOLITH,1,Ancient relic found in hotel,
ancient road revealed,RIDGEWAY,1,Ancient road revealed in weary dig,
ancient satirist,PETRONIUS,1,Ancient satirist varying in posture,
ancient surveyor,DIOPTER,1,Ancient surveyor turned to pride,
andrew,PATRONSAINT,1,Andrew possibly has part to play with various nations,
angel,PATRON,1,No part in play for angel?,
anguilla's captor,EELSPEAR,1,Anguilla's captor disturbed a sleeper,
anguish,MELANCHOLIA,1,'I am on call' he garbled in anguish,
angular figure,UNDECAGON,1,"Angular figure can go nude, but awkwardly",
animal sanctuary,SERENGETI,1,Tiger seen frolicking in animal sanctuary,
"animal, long dead",PTERODACTYL,1,"A pretty cold flying animal, long dead",
"animal, typic­ally",ANTHROPOMORPHIC,1,"Broadcast ""Mr H Hippo"" (cartoon animal, typic­ally)",
animals,BEARCATS,1,Animals trained by Arabs etc,
animals,STEINBOKS,1,Animals' skins to be treated,
animals damaging,MARSUPIALS,1,Animals damaging a Paris slum,
animatedly,IOLANTHE,1,It's comical to inhale animatedly,
animatedly commiserating,SYMPATHETIC,1,"I tap my chest, animatedly commiserating",
anna maria's husband,SAMUEL WHISKERS,1,Anna Maria's husband is lukewarm: she's excited!,
anniversary band flouts,JUBILEERING,1,Anniversary band flouts Beijing rule,
annoyance,FLEABITE,1,Feel a bit irritated by a trifling annoyance,
annoyances,FLEABITES,1,Feels a bit irritated by trifling annoyances,
annoying effect,RINGTONE,1,Compound of nitrogen with annoying effect?,
annual 'splashing,HARES-FOOT,1,Annual 'Splashing of the Oars'?,
annulment,RESCISSION,1,One's crisis forced annulment,
anon,UNNAMED,1,Anon produced mundane novel,
antenatal,INUTERO,1,Antenatal routine disrupted,
anticipated,UNEXPECTED,1,Nude except pants? Not anticipated,
anti-cooking,AGAINST,1,"Anti-cooking, anti-gas",
antipathy,ALLERGY,1,Antipathy from the gallery,
antiquated telecom facilities,PHONEBOXES,1,Nasty xenophobes with antiquated telecom facilities,
antisocial,ISHMAEL,1,"Antisocial person hails me, strangely",
anti-wrinkling,CREASERESISTANT,1,Anti-wrinkling can steer a sister off the rails,
anxiety,WORRIEDLY,1,Manoeuvring wide lorry with anxiety,
any others,ATYPICAL,1,A strange clay pit unlike any others?,
anything unsavoury,PURIFY,1,"Fry-up I concocted, free from anything unsavoury",
ape pulls,SIMULATE,1,Ape pulls out emu's tail,
apertures,FISTULAE,1,Apertures dismissed as futile,
aphorisms,GNOMIC,1,Coming out with aphorisms,
apostates,RECREANTS,1,Apostates turn recanters,
apostates making,RENEGADES,1,Apostates making Greene sad,
apparatus signalling,RADIOSET,1,Apparatus signalling abuse of a steroid,
apparently one never forgets,ELEPHANT,1,The plane trips apparently one never forgets,
appeal heard here,SUPREME COURT,1,Criminal computer user appeal heard here,
appearance,MATERIALISATION,1,Appearance initiates a moral resolve,
appearing only occasionally,EPISODIC,1,"Cod pie is off, appearing only occasionally",
appeases,PROPITIATES,1,"Appeases troubled spirit, a poet",
appellation,PROPERNAME,1,Emperor Pan devised special appellation,
appetite,HUNGRINESS,1,He’s nursing poor appetite,
applicable everywhere,UNIVERSAL,1,Valuers in moves applicable everywhere,
applied some cosmetics,EYELINERS,1,I serenely applied some cosmetics,
apply skin cream,MOISTURISE,1,Apply skin cream – or misuse it stupidly?,
appreciative judge,CONNOISSEUR,1,Nero's cousin corrup­ted an appreciative judge,
approached,DREWON,1,Approached in trembling wonder,
appropriate appellation,ELDER STATESMEN,1,Attlee's and Mr Eden's revised appropriate appellation?,
appropriate countenance,POKERFACED,1,Peek of card rendered with an appropriate countenance?,
appropriately,EXPEDIENTLY,1,Next I yelped suffering appropriately,
april 5: what does,YEAREND,1,April 5: what does Ray need badly?,
april wish,OTOBEINENGLAND,1,April wish - throw bone at dog with Lenin,
arabian peninsula,BASRA,1,Arabian Peninsula city Arabs rebuilt,
arboreal specimen,MAGNOLIA,1,Log mania destroyed arboreal specimen,
arcane remarks,NOTES,1,Eton’s arcane remarks,
archaeological discovery,NEANDERTHAL MAN,1,Archaeological discovery? Handle a remnant clumsily,
archer,STARSIGN,2,Archer perhaps with string as tight,
architectural,ROMANESQUE,1,Architectural style queer mason developed,
aria,ONWITHTHEMOTLEY,1,"Timothy and Helen, two combining in aria",
arm,SCATTER-GUN,1,Arm broken — cast urgent,
arm,INOCULANT,1,Continual changes maybe a shot in the arm,
army leader,CENTURION,1,"Army leader from Turin, once, possibly",
arouse,BESTIR,1,Arouse revolutionary tribes,
arouse opposition,ANTAGONISE,1,"Arouse opposition, if one's a giant on the move",
arrogance,DOGMATISM,1,"Barking, mog admits arrogance",
arsenic,RATSBANE,1,Antbears poisoned with arsenic,
article,WASTER,1,Article spoiled by troubled waters?,
artisan,SLATER,1,Artisan alters creation,
artist,MAX ERNST,1,Artist sent Marx crazy,
artist,HIERONYMUSBOSCH,1,Artist unexpectedly buys Cornish home,
artist,SEURAT,1,Artist forged art? Sue!,
artistic,POST-MODERNISM,1,Artistic movement promotes minds in torment,
artistic,PASTICHE,1,Artistic jumble - surprisingly it's cheap,
artistic,MONTAGE,1,Artistic composition got name changed,
artistic feature’,COLOURSCHEME,1,Cryptic clue: ‘Moocher’s artistic feature’,
artistic period,SEICENTO,1,Nice toes sculpted in an artistic period,
ascent,SCRAMBLE,1,Clambers awkwardly in rough ascent,
asia,EASTERN,1,Orders are sent from Asia,
asian,NONWHITE,1,"Asian, perhaps, in town he rebuilt",
asiatic horse,PRZEWALSKIS,1,Asiatic horse walks off with prizes,
asiatic tree,PATCHOULI,1,Asiatic tree hit cupola in storm,
aspen,TREMBLINGPOPLAR,1,"Order from Mr Big, planter: ""Lop the aspen!""",
assassinated king,JAMESSTUART,1,A master just assassinated king,
assumed,POSITED,1,Assumed it's minced topside,
assumed identity,PERSONA,1,Assumed identity with no spare material,
astonishing,PHAROS,1,Oprah's transformation was astonishing,
astronomers,STAR-CATALOGUE,1,A cute astro gal turned out to provide aid for astronomers,
asylum seeker,MIGRATIONIST,1,Asylum seeker possibly omitting sari,
athenian,ARISTIDES,1,Athenian satirised play,
athletes,STEEPLECHASERS,1,He preselects as trained athletes,
athlete's foot,TRACKSHOE,1,Shortcake mix on athlete's foot?,
atlantic port,MONTEVIDEO,1,Move on tide at sea in Atlantic port,
atmospheric phenomena,AURORAE,1,Atmospheric phenomena going round our area,
attached,ADHERED,1,Attached to a refined redhead,
attached,BELONGED,1,Attached to gold and been corrupted,
attacked,SET ON,1,Attacked Rolling Stone,
attacked,TENDERISED,1,Attacked with hammer in deserted complex,
attacked,INVEIGHED,1,"Attacked and beaten, he'd give in",
attention-seeking,EGOTRIPS,1,Attention-seeking actions got Piers aroused,
attracted,ENAMOURED,1,Attracted by quirky demeanour,
attraction,MAGNETIC NORTH,1,Crumbling Gothic remnant — it's something of an attraction,
attractive,HORSESHOEMAGNET,1,Has groom seen the settlement? Itês attractive,
attractive,MAGNETISED,1,Attractive endgame - it's needing analysis,
attractive location,MAGNETIC POLE,1,Get policeman active in attractive location?,
attractive ornaments,OBJETS D&#039;ART,1,Started job shifting attractive ornaments,
attractive woman,BEAUTY,1,Buy tea dances for attractive woman,
auction house,SALEROOM,1,Morale so bad in auction house,
audible hiss,SERPENT,1,Present broadcast that has an audible hiss?,
australia,KIMBERLEY,1,Milky beer distributed in part of Australia,
australian territory,CHRISTMASISLAND,1,This rascal minds rocky Australian territory,
authentic,PSEUDO,1,Does up building that's not authentic,
author,ENIDBLYTON,1,Work by indolent author,
author,RICHMALCROMPTON,1,"Prim clot on march, unorthodox author",
author who,COPYWRITER,1,Author who wrote pricy composition,
author without recognition,GHOST-WRITE,1,Author without recognition wore tights to dance,
authoritative source,EX CATHEDRA,1,Heard exact changes from an authoritative source,
authorities,LEADING LIGHTS,1,Lag delights in messing around authorities,
authority,DISPENSATION,1,Nation pissed off authority,
authors,TROLLOPES,1,Authors plot roles to be developed,
autobiography,SELFREFERENTIAL,1,"Errant life feels misrepresented, as is autobiography",
autoclave,STERILISER,1,Lester and Iris wrecked the autoclave,
autodidact displaying,SELFMADEMAN,1,Autodidact displaying fame 'n' medals,
automatic backing device,KARAOKEMACHINE,1,"OK, reach a mike an' play this automatic backing device",
automatically approving,RUBBER-STAMPING,1,Criminal pub's barring with Met automatically approving,
available,ONHIRE,1,Heroin freely available,
averse reaction,RELUCTANCE,1,Lecture can produce averse reaction,
aviator,NOCTULE,1,Clue not used by aviator?,
avoided,CIRCUMNAVIGATED,1,Avoided dealing with horribly crude TV magician,
avoided,ANTIPATHY,1,A tiny path somehow is something to be avoided,
"avoiding adventurousness, having",ONTHESAFESIDE,1,"Avoiding adventurousness, having eaten dishes of bananas",
avoids,OBVIATES,1,Avoids bias with vote that's free,
awa hooligans,NEDS,1,Send awa hooligans,
away,ATTHEDROPOFAHAT,1,Mashed potato father had right away,
away here,SHEFFIELD,1,. . .if she fled away here,
away like some victims,WORTHY,1,Why rot away like some victims?,
babies,NEONATAL,1,Anne modelled with a lot of babies,
baby dolls etc,NIGHTWEAR,1,Tailored range with baby dolls etc.,
back,UNDERWRITE,1,Intruder we turned back,
backing,SANCTIONING,1,Incognisant – unsettled – backing,
bacon,SCIENTIST,1,Bacon perhaps has insects cooked with it,
bacon piece,LARDON,1,Bacon piece Arnold reviewed,
bags,RETICULES,1,Bags of vicious cruelties,
baker's product,RYEBREAD,1,Characters from Derby are upset by baker's product,
baker's selection,TIPSYCAKE,1,Baker's selection of tacky pies?,
balance,THE MAGIC FLUTE,1,"Composition, I felt, caught me off balance",
ballet,RITE OF SPRING,1,Foreign trips arranged for the ballet,
ballet,PETRUSHKA,1,Shaker put movement into ballet,
ballet position,ECARTE,1,Create new ballet position,
ballet sequence,PAS DE DEUX,1,Fresh ad sexed up ballet sequence,
balls,MARINADES,1,Balls is mad near Pickles,
banal,STEREOTYPICAL,1,Banal sort of operatic style,
band,WREATH,1,Band threw a wobbly,
bandits here,AMUSEMENT ARCADE,1,Bandits here menaced amateurs playing,
bangkok,THAI,1,Hit a crook from Bangkok,
bangladesh before sovereignty,EAST PAKISTAN,1,A patient asks about Bangladesh before sovereignty,
banker,OLDFATHERTHAMES,1,Sacked most half-hearted City banker,
bankers' bonuses,ILLGOTTEN,1,Telling to modify bankers' bonuses?,
banquo’s issue,FLEANCE,1,Doctor can feel Banquo’s issue,
barak's cover,YAMULKA,1,Barak's cover in the UK-Malay trouble,
barbarian,OSTROGOTH,1,"Barbarian to go short, sadly",
barbarian’s small machines,NANOTECH,1,Conan the Barbarian’s small machines,
barber-shop,FOUR-PART HARMONY,1,"Marathon fry-up, or refined style of barber-shop?",
barge,ELBOW,1,Barge below rocks,
barker's,SEALYHAMTERRIER,1,Barker's timeshare rarely used,
barman,SCHUBERT,1,Butcher's working as barman,
barrier,MILLDAM,1,Barrier in dim mall that's abandoned,
barrier,THORNHEDGE,1,"H-horned characters, perhaps, get around this barrier",
barrier between properties,BOUNDARYFENCE,1,Barrier between properties beyond furnace needs rebuilding,
base,FAMILYSEAT,1,Mafia-style base?,
basic,RADICAL,1,Basic car dial defective,
basic premises,NISSENHUTS,1,Doctor set us in NHS basic premises,
basra region,THEPERSIANGULF,1,US fighter plane destroyed the Basra region,
bass,SEAWOLF,1,Few also composed for the bass,
bat,NOCTULE,1,Clue not used for bat,
bathroom,DOWNTHEPLUGHOLE,1,Help out when gold potty lost in bathroom?,
bavarians sport them,LEATHERTROUSERS,1,"False or true, heartless Bavarians sport them",
bawling,SINGINGOUT,1,"Badly stung, I go in bawling",
bayonet,COLDSTEEL,1,Stupidly select old bayonet,
bays,INLETS,1,Listen out for bays,
beach,AGROUND,1,Giving frolicsome dog a run on the beach,
beaks,TEACHERS,1,"Rheas, etc., moving beaks?",
beastly carving,WHITEHORSE,1,How the rise is transformed with this beastly carving!,
beat,OUTOFSYNC,1,Varied focus with Tony not on the beat?,
beating,PINATA,1,Ian and Pat involved in something that needs beating,
beating big gong,MEDALLION,1,Old menial beating big gong,
beats,OUTRIVALS,1,Beats virus: a lot suffering,
beauty,AESTHETIC,1,Possibly it teaches about the art of beauty,
beckett's revising,ABSURDIST,1,Beckett's revising suits Bard,
bed,VIOLETS,1,Possibly solve it in bed?,
bedded beauty,DELPHINIUM,1,Lined him up to ravage bedded beauty,
bedfellow,SLEEPINGPARTNER,1,Bedfellow representing lap dancing,
been held up,LATECOMER,1,Awfully clear to me that person's been held up?,
before being cleared,UNSWEPT,1,News put out before being cleared,
began,INITIATED,1,Tied it in a knot and began,
begging,MENDICANCY,1,Admen cynic represented as begging,
beginning,RESUMPTION,1,Importunes sadly for a new beginning,
beginning,INCEPTION,1,Nice point to make right at the beginning,
beginning,TERMINUSAQUO,1,Our quiet man's in trouble from the beginning,
beginning once more,RENEWAL,1,"Beginning once more, we learn to be different",
behave stoically,BITE THE BULLET,1,"Behave stoically, but let the bile out",
behaving like overzealous employer,OVERUSING,1,"I govern US badly, behaving like overzealous employer",
behaving thus,TREACHEROUSLY,1,Holy creature's thrown out – for behaving thus?,
behaving thus,AMOROUSLY,1,Morals you abandoned behaving thus?,
behaviour,STEALTH,1,"The last moves, crafty behaviour?",
behaviour,LARGESSE,1,Behaviour of the kind that can produce less rage,
behaviour,MISDEMEANOUR,1,"I'm a demon? Sure, dreadfully producing bad behaviour",
behind bars,INCUSTODY,1,Study coin displayed behind bars,
being alert,ONONESTOES,1,"Being alert, could be soon seen to",
being cancelled,CROSSEDOUT,1,Being cancelled could be to do with curses,
being capped,KNEE,1,Keen about being capped,
being clean,ASEPTIC,1,Being clean involves giving it space,
being cornered,ANGULAR,1,Being cornered made a lag run amok,
being dim-witted,SLOWONTHEUPTAKE,1,Engineer to shake up new lot being dim-witted,
being enthralled,SERFDOM,1,"Raving from Des, being enthralled",
being gutless,DISEMBOWELED,1,"Being gutless, meddle with Bowie's arrangement",
being heedless,HEADSTRONG,1,"The dogs ran wild, being heedless",
being initiated,INTHEKNOW,1,"Being initiated, somehow we think on",
being insulting,DEROGATIVE,1,I'd get over a drunk being insulting,
being inveterate,ROOTED,1,"Too red to change, being inveterate",
being irritable,SPLENETIC,1,"Being irritable, select pin differently",
being like,LITERARY,1,"Being like this, I try Lear for a change …",
being mentally alert,CLEARHEADEDNESS,1,"He's declared sane after treatment, in a state of being ment",
being more trustworthy,SAFER,1,Criminal fears being more trustworthy,
being obsequious would put,SMARMY,1,Being obsequious would put Mrs May off,
being parsimonious,CHEESEPARING,1,"Cheap greens I order, being parsimonious",
being past one's prime,OLDIE,1,Do lie about being past one's prime,
being philanthropic,CHARITABLE,1,Being philanthropic is a real bitch sadly,
being prosaic,TEDIOUS,1,Rewrite is due to being prosaic,
being pumped up,DIASTOLIC,1,"I slid coat off, relaxed after being pumped up?",
being racialist,INTOLERANT,1,"Ten on trial, perhaps for being racialist?",
being securely shut,NOESCAPE,1,"Open case, possibly, from being securely shut?",
being sensible,CLEAR-HEADED,1,"Being sensible, reached deal after arrangement",
being shameless,BRAZEN-FACED,1,Be thrown with crazed fan being shameless,
being sly,STEALTHY,1,Being sly they last out,
being stimulating,ANTIGENIC,1,I can get in trouble for being stimulating,
being subject again,REENSLAVE,1,Eve learns to change being subject again,
being tactless,INCONSIDERATE,1,Horribly snide reaction being tactless,
being taken,HOSPITALISATION,1,"Being taken in, isolation is path for treatment",
being their sport,OARSMEN,1,"Some ran badly, running not being their sport",
being under suspicion,INTHEFRAME,1,Hitmen fear somehow being under suspicion,
being underhand,DUPLICITOUS,1,Idol is cut up about being underhand,
being unfaithful,ADULTERY,1,Failure of duty with earl being unfaithful,
below-par,SUBOPTIMAL,1,Below-par album I stop playing,
belts,ENGIRDLES,1,Slovenly girls need belts,
belts,ENGIRDS,1,Belts to send rig repair  …,
beneficiary,INHERITOR,1,Beneficiary in Herriot novel,
benevolent,AVUNCULAR,1,"R u a Vulcan, potentially benevolent?",
berkshire,NEWBURY,1,We run by building in Berkshire,
best method,FAIRTRADE,1,Best method of frater aid?,
best unplayed,RUSSIANROULETTE,1,Aristotle unsure about game best unplayed,
betraying monarch,TREASONABLE,1,Betraying monarch elates baron terribly,
better,EMENDATE,1,Mistake made teen change for the better,
better vehicle,TRADESUP,1,Part-used transport is exchanged for a better vehicle,
between ends,LENGTHWAYS,1,Why tangles developed between ends?,
bewitching woman,ENCHANTRESS,1,Transforming NHS centres: a bewitching woman,
biblical character,ESTHER,1,There's another biblical character,
biblical figure,MARYMAGDALENE,1,Madman eagerly represented Biblical figure,
biblical petition,LORDSPRAYER,1,Biblical petition (Parry's older translation),
biblical swine,GADARENE,1,Biblical swine are eager and wild,
bidding,BEHEST,1,Bidding for the destruction of Thebes,
big,ASTRONOMIC,1,Big break for Roman Stoic,
big beast,ELEPHANT,1,Big beast apt to mess around with Helen,
big bird once upon,ESTRIDGE,1,Big bird once upon a time mixed grit with seed,
big bloomer,TULIPTREE,1,Bad lie - putter used - big bloomer,
big one,WARANDPEACE,1,"Pa, can we read novel – a big one?",
big whip-round,TORNADO,1,Donor at dance to make a big whip-round?,
bigger,ENLARGED,1,"Changed to red, angle becomes bigger",
bigwigs,DIGNITARIES,1,Bigwigs exploited a rising tide,
bill,PENINSULA,1,Lines up an extraordinary bill,
binding,LIGATURE,1,Real gut I adapted for binding,
biochemistry,LIFESCIENCE,1,Eccles fine I fancy in biochemistry?,
biographical reference,WHOSWHO,1,Show how novel is biographical reference,
biological science redefined,EMBRYOLOGY,1,Biological science redefined by germy loo,
biology classes,SUBGENERA,1,Biology classes sure began badly,
bird,LONGTAILEDTIT,1,Doctor Dolittle with giant bird,
bird,GOATSUCKER,1,Bird changing tack? Grouse!,
bird sanctuary,HENROOST,1,Bird sanctuary foreign to herons,
bird trainer,FALCONER,1,Knot clean for bird trainer,
birdie,FLAMINGO,1,Golf man I teased for birdie?,
birds,WIDGEONS,1,"Birds winged, so flying",
birds,TOUCANS,1,Cuckoo can oust birds,
birds,PIEDFLYCATCHERS,1,Creepy fat child's dicky birds,
birds,MYNAHS,1,Shy man trained birds,
birds,DOTTERELS,1,Birds trained in Old Street,
biscuit,RATAFIA,1,Biscuit cooked at a fair,
bit ropey,ESPADRILLE,1,Yank paid seller for something a bit ropey,
bitter food,DARK CHOCOLATE,1,Drunk cook had claret and bitter food,
black,NONWHITE,1,Jittery win on the black?,
black,SATANICAL,1,"It's a canal, crooked and black",
black country players,WOLVES,1,Distorted vowels of Black Country players,
black dwarf,NEGRITO,1,Black dwarf tiger? No messing!,
black stuff,GRAPHITE,1,Black stuff in earth pig turned over,
black-eyed susan,RUDBECKIA,1,Black-eyed Susan crashed a red Buick,
blackout,TOTALECLIPSE,1,Chaos of latest police blackout,
blades,AIRSCREW,1,A frenzy of war cries and whirling blades,
blame,UPBRAID,1,Blame new management for pub raid,
bland food ingredient,RICEFLOUR,1,For ulcer I used bland food ingredient,
blasphemy,OATHS,1,Blasphemy has to change,
blathers,SHOOTS THE BREEZE,1,"Bozo, three sheets to wind, blathers",
blemish beneath skin,CONTUSION,1,Blemish beneath skin of onions cut out,
blockbuster,TOTALRECALL,1,"Blockbuster, tall tale with orc, rebooted",
blocks,PRECAST,1,Carpets arranged in blocks,
bloom,UMBEL,1,Sort of blume? Sort of bloom?,
bloom shows,FLEUR-DE-LIS,1,Bloom shows full desire uncontrollably,
bloomer,HYDRANGEA,2,Angry head mistakenly made bloomer,
bloomer,GRAPE HYACINTH,1,Bloomer in The i angry chap condemned,
bloomers,DELPHINIA,1,"A pin I held, altering bloomers",
bloomers,ALYSSUMS,1,"Bloomers produced by poor slums, say",
bloomers,AMARANTHS,1,Bloomers by Santa — harm done,
